name,country,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Adliswil,CH,,131,106,1,,,,,,
Rheinwald,CH,,3714,1851,18,,,,,,
Grens,CH,,5722,2228,22,,,,,,
Val Terbi,CH,,6730,2601,26,,,,,,
Windisch,CH,,4123,1904,19,,,,,,
Pleigne,CH,,6719,2601,26,,,,,,
Risch,CH,,1707,,9,,,,,,
Zeihen,CH,,4183,1906,19,,,,,,
Vucherens,CH,,5692,2222,22,,,,,,
Roche (VD),CH,,5413,2221,22,,,,,,
Schönenwerd,CH,,2583,1108,11,,,,,,
Corcelles-près-Payerne,CH,,5816,2222,22,,,,,,
Reinach (AG),CH,,4141,1905,19,,,,,,
Missy,CH,,5821,2222,22,,,,,,
Düdingen,CH,,2293,1006,10,,,,,,
Montpreveyres,CH,,5792,2226,22,,,,,,
Schattdorf,CH,,1213,,4,,,,,,
Gachnang,CH,,4571,2012,20,,,,,,
Treytorrens (Payerne),CH,,5828,2222,22,,,,,,
Chavannes-des-Bois,CH,,5708,2228,22,,,,,,
Horn,CH,,4421,2011,20,,,,,,
Arni (BE),CH,,602,246,2,,,,,,
Morlon,CH,,2143,1003,10,,,,,,
Saubraz,CH,,5437,2227,22,,,,,,
Berlingen,CH,,4801,2012,20,,,,,,
Münsingen,CH,,616,246,2,,,,,,
Falera,CH,,3572,1850,18,,,,,,
Marsens,CH,,2140,1003,10,,,,,,
L'Isle,CH,,5486,2227,22,,,,,,
Wuppenau,CH,,4791,2015,20,,,,,,
Wynigen,CH,,424,245,2,,,,,,
Fisibach,CH,,4306,1911,19,,,,,,
Tentlingen,CH,,2307,1006,10,,,,,,
Unterengstringen,CH,,249,111,1,,,,,,
Wiggiswil,CH,,553,246,2,,,,,,
Crans-Montana,CH,,6253,2311,23,,,,,,
Root,CH,,1065,312,3,,,,,,
Seon,CH,,4209,1907,19,,,,,,
Kloten,CH,,62,103,1,,,,,,
Lantsch/Lenz,CH,1684100,3513,1841,18,0.9999974668382873,1.0966481232254348e-05,0.016,0.0002533165058483861,21808601.962434094,21808604.354070336
Brunegg,CH,,4193,1907,19,,,,,,
Sissach,CH,,2861,1304,13,,,,,,
Ammerswil,CH,,4191,1907,19,,,,,,
Le Noirmont,CH,,6754,2602,26,,,,,,
Crassier,CH,,5714,2228,22,,,,,,
La Baroche,CH,,6810,2603,26,,,,,,
Meyrin,CH,,6630,,25,,,,,,
Veltheim (AG),CH,,4120,1904,19,,,,,,
Suscévaz,CH,,5930,2224,22,,,,,,
Endingen,CH,,4305,1911,19,,,,,,
Morschach,CH,,1366,506,5,,,,,,
Gränichen,CH,,4006,1901,19,,,,,,
Cheseaux-sur-Lausanne,CH,,5582,2225,22,,,,,,
Mont-Tramelan,CH,,437,241,2,,,,,,
Buckten,CH,,2843,1304,13,,,,,,
Nidau,CH,,743,242,2,,,,,,
Staffelbach,CH,,4284,1910,19,,,,,,
Grenchen,CH,,2546,1107,11,,,,,,
Rüttenen,CH,,2555,1107,11,,,,,,
Magliaso,CH,,5193,2105,21,,,,,,
Eschenbach (SG),CH,,3342,1726,17,,,,,,
Winterthur,CH,,230,110,1,,,,,,
Bercher,CH,,5512,2223,22,,,,,,
Saint-Martin (FR),CH,,2335,1007,10,,,,,,
Güttingen,CH,,4656,2013,20,,,,,,
Benken (SG),CH,,3312,1726,17,,,,,,
Dully,CH,,5855,2228,22,,,,,,
Forel (Lavaux),CH,,5604,2226,22,,,,,,
Liedertswil,CH,,2890,1305,13,,,,,,
Terre di Pedemonte,CH,,5396,2104,21,,,,,,
Laupen,CH,,667,246,2,,,,,,
Echarlens,CH,,2131,1003,10,,,,,,
Bedano,CH,,5148,2105,21,,,,,,
Erschwil,CH,,2615,1110,11,,,,,,
Mézières (FR),CH,,2087,1002,10,,,,,,
Schaffhausen,CH,,2939,1403,14,,,,,,
Quarten,CH,,3295,1725,17,,,,,,
Hergiswil (NW),CH,,1507,,7,,,,,,
Frauenkappelen,CH,,663,246,2,,,,,,
Amden,CH,,3311,1726,17,,,,,,
Gansingen,CH,,4164,1906,19,,,,,,
Orny,CH,,5493,2227,22,,,,,,
Künten,CH,,4031,1902,19,,,,,,
Leutwil,CH,,4138,1905,19,,,,,,
Walliswil bei Wangen,CH,,991,244,2,,,,,,
Baulmes,CH,,5745,2224,22,,,,,,
Sion,CH,,6266,2312,23,,,,,,
Langrickenbach,CH,,4681,2013,20,,,,,,
Oensingen,CH,,2407,1101,11,,,,,,
Titterten,CH,,2894,1305,13,,,,,,
Unterlunkhofen,CH,,4079,1903,19,,,,,,
Rechthalten,CH,,2301,1006,10,,,,,,
Aeschi (SO),CH,,2511,1106,11,,,,,,
Cortaillod,CH,,6408,,24,,,,,,
Mumpf,CH,,4255,1909,19,,,,,,
Dietwil,CH,,4231,1908,19,,,,,,
Flumenthal,CH,,2545,1107,11,,,,,,
Davos,CH,,3851,1849,18,,,,,,
Pieterlen,CH,,392,242,2,,,,,,
Küttigen,CH,,4008,1901,19,,,,,,
Mont-Vully,CH,,2284,1005,10,,,,,,
Mammern,CH,,4826,2012,20,,,,,,
Vufflens-le-Château,CH,,5653,2227,22,,,,,,
Tolochenaz,CH,,5649,2227,22,,,,,,
Avegno Gordevio,CH,,5324,2108,21,,,,,,
Braunau,CH,,4723,2014,20,,,,,,
Champéry,CH,,6151,2308,23,,,,,,
Acquarossa,CH,,5048,2102,21,,,,,,
Inwil,CH,,1033,313,3,,,,,,
Bernex,CH,,6607,,25,,,,,,
Commugny,CH,,5711,2228,22,,,,,,
Wiesendangen,CH,,298,110,1,,,,,,
Yvonand,CH,,5939,2224,22,,,,,,
Benken (ZH),CH,,22,102,1,,,,,,
Cornaux,CH,,6451,,24,,,,,,
Hirschthal,CH,,4007,1901,19,,,,,,
Essertines-sur-Yverdon,CH,,5520,2223,22,,,,,,
Rottenschwil,CH,,4238,1908,19,,,,,,
Boussens,CH,,5473,2223,22,,,,,,
Ramsen,CH,,2963,1405,14,,,,,,
Rolle,CH,,5861,2228,22,,,,,,
Mandach,CH,,4105,1904,19,,,,,,
Altdorf (UR),CH,,1201,,4,,,,,,
Gampel-Bratsch,CH,,6118,2306,23,,,,,,
