name,country,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Oulens-sous-Echallens,CH,,5529,2223,22,,,,,,
Kaisten,CH,,4169,1906,19,,,,,,
Trub,CH,,908,245,2,,,,,,
Pohlern,CH,,936,247,2,,,,,,
Hinwil,CH,,117,105,1,,,,,,
Triesenberg,CH,,7004,,,,,,,,
Blatten,CH,,6192,2309,23,,,,,,
Ringgenberg (BE),CH,,590,250,2,,,,,,
Dürnten,CH,,113,105,1,,,,,,
Montilliez,CH,,5540,2223,22,,,,,,
Deitingen,CH,,2516,1106,11,,,,,,
Arlesheim,CH,,2763,1301,13,,,,,,
Eggerberg,CH,,6004,2301,23,,,,,,
Siglistorf,CH,,4319,1911,19,,,,,,
Bardonnex,CH,,6605,,25,,,,,,
Bettlach,CH,,2543,1107,11,,,,,,
Boécourt,CH,,6702,2601,26,,,,,,
Le Cerneux-Péquignot,CH,,6434,,24,,,,,,
Schellenberg,CH,,7011,,,,,,,,
Port-Valais,CH,,6154,2308,23,,,,,,
Chavannes-sur-Moudon,CH,,5665,2222,22,,,,,,
Oberdiessbach,CH,,619,246,2,,,,,,
Rain,CH,,1037,313,3,,,,,,
Stadel,CH,,100,104,1,,,,,,
Abtwil,CH,,4221,1908,19,,,,,,
Thayngen,CH,,2920,1402,14,,,,,,
Serravalle,CH,,5050,2102,21,,,,,,
Giornico,CH,,5073,2103,21,,,,,,
Thal,CH,,3237,1722,17,,,,,,
Ursenbach,CH,,344,244,2,,,,,,
Bofflens,CH,,5747,2224,22,,,,,,
Saint-Livres,CH,,5435,2227,22,,,,,,
Ruggell,CH,,7010,,,,,,,,
Lohn (SH),CH,,2917,1402,14,,,,,,
Auswil,CH,,322,244,2,,,,,,
Ursins,CH,,5932,2224,22,,,,,,
Hettlingen,CH,,221,110,1,,,,,,
Neckertal,CH,,3396,1727,17,,,,,,
Trun,CH,,3987,1850,18,,,,,,
Grosswangen,CH,,1086,314,3,,,,,,
Härkingen,CH,,2402,1101,11,,,,,,
Degersheim,CH,,3401,1728,17,,,,,,
Klosters,CH,,3871,1849,18,,,,,,
Trogen,CH,,3025,1502,15,,,,,,
Lützelflüh,CH,,955,245,2,,,,,,
Grosshöchstetten,CH,,608,246,2,,,,,,
Démoret,CH,,5912,2224,22,,,,,,
Lutzenberg,CH,,3033,1503,15,,,,,,
Rorschacherberg,CH,,3216,1722,17,,,,,,
Sarmenstorf,CH,,4076,1903,19,,,,,,
Premier,CH,,5759,2224,22,,,,,,
Isenthal,CH,,1211,,4,,,,,,
Kappel am Albis,CH,,6,101,1,,,,,,
Grandson,CH,,5561,2224,22,,,,,,
Vully-les-Lacs,CH,,5464,2222,22,,,,,,
Villigen,CH,,4121,1904,19,,,,,,
Mellikon,CH,,4314,1911,19,,,,,,
Vevey,CH,,5890,2230,22,,,,,,
Hünenberg,CH,,1703,,9,,,,,,
Eichberg,CH,,3252,1723,17,,,,,,
Alpthal,CH,,1361,506,5,,,,,,
Arth,CH,,1362,506,5,,,,,,
Adligenswil,CH,,1051,312,3,,,,,,
Zwingen,CH,,2793,1302,13,,,,,,
Altikon,CH,,211,110,1,,,,,,
Stetten (AG),CH,,4041,1902,19,,,,,,
Diegten,CH,,2884,1305,13,,,,,,
Leuzigen,CH,,388,243,2,,,,,,
Schwadernau,CH,,748,242,2,,,,,,
Bellwald,CH,,6052,2304,23,,,,,,
Valbirse,CH,,717,241,2,,,,,,
Guttet-Feschel,CH,,6117,2306,23,,,,,,
Hofstetten bei Brienz,CH,,580,250,2,,,,,,
Bätterkinden,CH,,533,245,2,,,,,,
Coppet,CH,,5712,2228,22,,,,,,
Chiasso,CH,,5250,2106,21,,,,,,
Lussery-Villars,CH,,5487,2223,22,,,,,,
Sommeri,CH,,4446,2011,20,,,,,,
Bülach,CH,,53,103,1,,,,,,
Schwanden bei Brienz,CH,,592,250,2,,,,,,
Luins,CH,,5858,2228,22,,,,,,
Morbio Inferiore,CH,,5257,2106,21,,,,,,
Berolle,CH,,5424,2227,22,,,,,,
Vuadens,CH,,2160,1003,10,,,,,,
Melide,CH,,5198,2105,21,,,,,,
Saint-Barthélemy (VD),CH,,5535,2223,22,,,,,,
Saillon,CH,,6140,2307,23,,,,,,
Blenio,CH,,5049,2102,21,,,,,,
Aubonne,CH,,5422,2227,22,,,,,,
Ormont-Dessus,CH,,5411,2221,22,,,,,,
Bedretto,CH,,5063,2103,21,,,,,,
Habkern,CH,,579,250,2,,,,,,
Raperswilen,CH,,4846,2013,20,,,,,,
Ehrendingen,CH,,4049,1902,19,,,,,,
La Neuveville,CH,,723,241,2,,,,,,
Heiligenschwendi,CH,,927,247,2,,,,,,
Les Planchettes,CH,,6422,,24,,,,,,
Etoy,CH,,5636,2227,22,,,,,,
Montcherand,CH,,5756,2224,22,,,,,,
Baden,CH,,4021,1902,19,,,,,,
Zizers,CH,,3947,1845,18,,,,,,
Aarburg,CH,,4271,1910,19,,,,,,
Reitnau,CH,,4281,1910,19,,,,,,
Chénens,CH,,2177,1004,10,,,,,,
Freimettigen,CH,,607,246,2,,,,,,
Turbenthal,CH,,228,110,1,,,,,,
Horrenbach-Buchen,CH,,932,247,2,,,,,,
Wartau,CH,,3276,1724,17,,,,,,
Beckenried,CH,,1501,,7,,,,,,
Gossau (SG),CH,,3443,1721,17,,,,,,
Bournens,CH,,5472,2223,22,,,,,,
Zuzwil (BE),CH,,557,246,2,,,,,,
Waldkirch,CH,,3444,1721,17,,,,,,
Signau,CH,,907,245,2,,,,,,
Burgdorf,CH,,404,245,2,,,,,,
Bullet,CH,,5552,2224,22,,,,,,
Ermatingen,CH,,4646,2013,20,,,,,,
Thun,CH,,942,247,2,,,,,,
Linden,CH,,614,246,2,,,,,,
Embrach,CH,,56,103,1,,,,,,
Böztal,CH,,4185,1906,19,,,,,,
Seehof,CH,,709,241,2,,,,,,
Laconnex,CH,,6627,,25,,,,,,
Bretigny-sur-Morrens,CH,,5515,2223,22,,,,,,
Péry-La Heutte,CH,,450,241,2,,,,,,
Mendrisio,CH,,5254,2106,21,,,,,,
Uesslingen-Buch,CH,,4616,2012,20,,,,,,
Collombey-Muraz,CH,,6152,2308,23,,,,,,
Münchwilen (AG),CH,,4172,1906,19,,,,,,
Faido,CH,,5072,2103,21,,,,,,
Mümliswil-Ramiswil,CH,,2428,1102,11,,,,,,
Bovernier,CH,,6131,2307,23,,,,,,
Aigle,CH,,5401,2221,22,,,,,,
Randa,CH,,6287,2313,23,,,,,,
Coeuve,CH,,6781,2603,26,,,,,,
Lengnau (BE),CH,,387,242,2,,,,,,
La Praz,CH,,5758,2224,22,,,,,,
Fully,CH,,6133,2307,23,,,,,,
Echichens,CH,,5634,2227,22,,,,,,
Steckborn,CH,,4864,2012,20,,,,,,
Hefenhofen,CH,,4416,2011,20,,,,,,
Vuisternens-devant-Romont,CH,,2113,1002,10,,,,,,
Kriegstetten,CH,,2525,1106,11,,,,,,
Dägerlen,CH,,214,110,1,,,,,,
Vaux-sur-Morges,CH,,5650,2227,22,,,,,,
Vordemwald,CH,,4287,1910,19,,,,,,
Rapperswil-Jona,CH,,3340,1726,17,,,,,,
Wisen (SO),CH,,2502,1105,11,,,,,,
Corsier-sur-Vevey,CH,,5884,2230,22,,,,,,
Holziken,CH,,4136,1905,19,,,,,,
Erlinsbach (SO),CH,,2503,1105,11,,,,,,
La Rippe,CH,,5726,2228,22,,,,,,
Bönigen,CH,,572,250,2,,,,,,
Ogens,CH,,5680,2223,22,,,,,,
Cama,CH,,3831,1847,18,,,,,,
Niederweningen,CH,,91,104,1,,,,,,
Steinach,CH,,3217,1722,17,,,,,,
La Côte-aux-Fées,CH,,6504,,24,,,,,,
Bubikon,CH,,112,105,1,,,,,,
Teuffenthal (BE),CH,,940,247,2,,,,,,
Le Vaud,CH,,5731,2228,22,,,,,,
Reinach (BL),CH,,2773,1301,13,,,,,,
Presinge,CH,,6635,,25,,,,,,
Olten,CH,,2581,1108,11,,,,,,
Seedorf (UR),CH,,1214,,4,,,,,,
Uerkheim,CH,,4286,1910,19,,,,,,
Flaach,CH,,28,102,1,,,,,,
Teufen (AR),CH,,3024,1502,15,,,,,,
Münsterlingen,CH,,4691,2013,20,,,,,,
Stettlen,CH,,358,246,2,,,,,,
Chêne-Pâquier,CH,,5908,2224,22,,,,,,
Bürchen,CH,,6193,2309,23,,,,,,
Château-d'Oex,CH,,5841,2230,22,,,,,,
Haute-Sorne,CH,,6729,2601,26,,,,,,
Herznach-Ueken,CH,,4186,1906,19,,,,,,
Tannay,CH,,5729,2228,22,,,,,,
Wallisellen,CH,,69,103,1,,,,,,
Vérossaz,CH,,6220,2310,23,,,,,,
Itingen,CH,,2849,1304,13,,,,,,
Engelberg,CH,,1402,,6,,,,,,
Oppligen,CH,,622,246,2,,,,,,
Chigny,CH,,5628,2227,22,,,,,,
Champvent,CH,,5905,2224,22,,,,,,
Soazza,CH,,3823,1847,18,,,,,,
Nesslau,CH,,3360,1727,17,,,,,,
Balm bei Günsberg,CH,,2541,1107,11,,,,,,
Rüegsau,CH,,956,245,2,,,,,,
Hauenstein-Ifenthal,CH,,2491,1105,11,,,,,,
Broc,CH,,2124,1003,10,,,,,,
Ausserberg,CH,,6191,2309,23,,,,,,
Niederhelfenschwil,CH,,3423,1728,17,,,,,,
Buch (SH),CH,,2961,1405,14,,,,,,
Diessenhofen,CH,,4545,2012,20,,,,,,
Avully,CH,,6603,,25,,,,,,
Rohrbachgraben,CH,,339,244,2,,,,,,
Huttwil,CH,,954,244,2,,,,,,
Hausen am Albis,CH,,4,101,1,,,,,,
Staufen,CH,,4210,1907,19,,,,,,
Känerkinden,CH,,2850,1304,13,,,,,,
Gempen,CH,,2474,1104,11,,,,,,
Grandcour,CH,,5817,2222,22,,,,,,
Safnern,CH,,746,242,2,,,,,,
Romainmôtier-Envy,CH,,5761,2224,22,,,,,,
Schleinikon,CH,,98,104,1,,,,,,
Albula/Alvra,CH,4449887,3542,1841,18,0.9999981976606046,1.6007669693408087e-06,0.016,0.0001802341033789625,93925077.79232915,93925079.29585077
Trüllikon,CH,,40,102,1,,,,,,
Dorénaz,CH,,6212,2310,23,,,,,,
Corminboeuf,CH,,2183,1004,10,,,,,,
Gottlieben,CH,,4651,2013,20,,,,,,
Wittnau,CH,,4181,1906,19,,,,,,
Rapperswil (BE),CH,,310,243,2,,,,,,
Wäldi,CH,,4701,2013,20,,,,,,
Speicher,CH,,3023,1502,15,,,,,,
Andermatt,CH,,1202,,4,,,,,,
Dardagny,CH,,6620,,25,,,,,,
Versoix,CH,,6644,,25,,,,,,
Etagnières,CH,,5521,2223,22,,,,,,
Hasle bei Burgdorf,CH,,406,245,2,,,,,,
Paradiso,CH,,5210,2105,21,,,,,,
Rickenbach (ZH),CH,,225,110,1,,,,,,
Wegenstetten,CH,,4262,1909,19,,,,,,
Jens,CH,,738,243,2,,,,,,
Hallwil,CH,,4197,1907,19,,,,,,
Bürglen (TG),CH,,4911,2015,20,,,,,,
Sils im Domleschg,CH,,3640,1851,18,,,,,,
Merenschwand,CH,,4234,1908,19,,,,,,
Biberist,CH,,2513,1106,11,,,,,,
Illgau,CH,,1363,506,5,,,,,,
Hohenrain,CH,,1032,313,3,,,,,,
Mesocco,CH,,3822,1847,18,,,,,,
Ernen,CH,,6056,2304,23,,,,,,
Confignon,CH,,6618,,25,,,,,,
Kesswil,CH,,4426,2011,20,,,,,,
Ormont-Dessous,CH,,5410,2221,22,,,,,,
Dompierre (VD),CH,,5671,2222,22,,,,,,
Brusino Arsizio,CH,,5160,2105,21,,,,,,
Grandval,CH,,694,241,2,,,,,,
Tavannes,CH,,713,241,2,,,,,,
Sâles,CH,,2152,1003,10,,,,,,
Neuheim,CH,,1705,,9,,,,,,
Oberentfelden,CH,,4010,1901,19,,,,,,
Stettfurt,CH,,4606,2012,20,,,,,,
Bosco/Gurin,CH,,5304,2108,21,,,,,,
Airolo,CH,,5061,2103,21,,,,,,
Muttenz,CH,,2770,1301,13,,,,,,
Lignerolle,CH,,5755,2224,22,,,,,,
Valeyres-sous-Rances,CH,,5763,2224,22,,,,,,
Oberweningen,CH,,93,104,1,,,,,,
Epalinges,CH,,5584,2225,22,,,,,,
Meltingen,CH,,2620,1110,11,,,,,,
Belfaux,CH,,2175,1004,10,,,,,,
Seltisberg,CH,,2833,1303,13,,,,,,
Schinznach,CH,,4125,1904,19,,,,,,
Orsières,CH,,6034,2303,23,,,,,,
Givrins,CH,,5720,2228,22,,,,,,
Givisiez,CH,,2197,1004,10,,,,,,
Burg im Leimental,CH,,2783,1302,13,,,,,,
Wangen (SZ),CH,,1349,505,5,,,,,,
Bubendorf,CH,,2823,1303,13,,,,,,
Seegräben,CH,,119,105,1,,,,,,
Kammersrohr,CH,,2549,1107,11,,,,,,
Essertines-sur-Rolle,CH,,5856,2228,22,,,,,,
Herbligen,CH,,610,246,2,,,,,,
Mervelier,CH,,6715,2601,26,,,,,,
Basadingen-Schlattingen,CH,,4536,2012,20,,,,,,
Hermance,CH,,6625,,25,,,,,,
Saulcy,CH,,6722,2601,26,,,,,,
Böttstein,CH,,4303,1911,19,,,,,,
Wildberg,CH,,182,108,1,,,,,,
Hallau,CH,,2971,1406,14,,,,,,
Wädenswil,CH,,293,106,1,,,,,,
Kriechenwil,CH,,666,246,2,,,,,,
Innertkirchen,CH,,784,250,2,,,,,,
Saint-Gingolph,CH,,6155,2308,23,,,,,,
Eschenz,CH,,4806,2012,20,,,,,,
Lohn-Ammannsegg,CH,,2526,1106,11,,,,,,
Oetwil an der Limmat,CH,,246,111,1,,,,,,
Brienz (BE),CH,,573,250,2,,,,,,
Orpund,CH,,744,242,2,,,,,,
Cottens (FR),CH,,2186,1004,10,,,,,,
Liestal,CH,,2829,1303,13,,,,,,
Fehraltorf,CH,,172,108,1,,,,,,
Gerzensee,CH,,866,246,2,,,,,,
Zeneggen,CH,,6299,2313,23,,,,,,
Mauren,CH,,7008,,,,,,,,
Valeyres-sous-Montagny,CH,,5933,2224,22,,,,,,
Dachsen,CH,,25,102,1,,,,,,
Bussy-sur-Moudon,CH,,5663,2222,22,,,,,,
Islisberg,CH,,4084,1903,19,,,,,,
Zielebach,CH,,556,245,2,,,,,,
Rheinfelden,CH,,4258,1909,19,,,,,,
Eriz,CH,,924,247,2,,,,,,
Villars-Sainte-Croix,CH,,5651,2229,22,,,,,,
Avenches,CH,,5451,2222,22,,,,,,
Rothenthurm,CH,,1370,506,5,,,,,,
Quinto,CH,,5079,2103,21,,,,,,
Ried-Brig,CH,,6008,2301,23,,,,,,
Buchs (AG),CH,,4003,1901,19,,,,,,
Bulle,CH,,2125,1003,10,,,,,,
Greppen,CH,,1056,312,3,,,,,,
Bühl,CH,,734,243,2,,,,,,
Ruswil,CH,,1098,314,3,,,,,,
Gaiserwald,CH,,3442,1721,17,,,,,,
Anniviers,CH,,6252,2311,23,,,,,,
Corbières,CH,,2129,1003,10,,,,,,
Porrentruy,CH,,6800,2603,26,,,,,,
Trin,CH,,3734,1844,18,,,,,,
Ueberstorf,CH,,2308,1006,10,,,,,,
Boncourt,CH,,6774,2603,26,,,,,,
Yens,CH,,5655,2227,22,,,,,,
Beinwil am See,CH,,4131,1905,19,,,,,,
Bannwil,CH,,323,244,2,,,,,,
Muri (AG),CH,,4236,1908,19,,,,,,
Schmerikon,CH,,3338,1726,17,,,,,,
Lauterbrunnen,CH,,584,250,2,,,,,,
Bellikon,CH,,4022,1902,19,,,,,,
Gams,CH,,3272,1724,17,,,,,,
Siblingen,CH,,2953,1404,14,,,,,,
Möriken-Wildegg,CH,,4203,1907,19,,,,,,
La Sonnaz,CH,,2235,1004,10,,,,,,
Reigoldswil,CH,,2893,1305,13,,,,,,
Morrens (VD),CH,,5527,2223,22,,,,,,
Arni (AG),CH,,4061,1903,19,,,,,,
Thürnen,CH,,2864,1304,13,,,,,,
Chexbres,CH,,5601,2226,22,,,,,,
Fürstenau,CH,,3633,1851,18,,,,,,
Savièse,CH,,6265,2312,23,,,,,,
Agarn,CH,,6101,2306,23,,,,,,
Unterschächen,CH,,1219,,4,,,,,,
Villars-Epeney,CH,,5935,2224,22,,,,,,
Grône,CH,,6238,2311,23,,,,,,
Hüniken,CH,,2524,1106,11,,,,,,
Sils im Engadin/Segl,CH,,3789,1846,18,,,,,,
Meierskappel,CH,,1064,312,3,,,,,,
Sonceboz-Sombeval,CH,,444,241,2,,,,,,
Chêne-Bougeries,CH,,6612,,25,,,,,,
Vallon,CH,,2045,1001,10,,,,,,
Roches (BE),CH,,704,241,2,,,,,,
Bellevue,CH,,6606,,25,,,,,,
Champoz,CH,,683,241,2,,,,,,
Bäretswil,CH,,111,105,1,,,,,,
Sullens,CH,,5501,2223,22,,,,,,
Chavornay,CH,,5749,2224,22,,,,,,
Chêne-Bourg,CH,,6613,,25,,,,,,
Bursinel,CH,,5852,2228,22,,,,,,
Trient,CH,,6142,2307,23,,,,,,
Buchs (SG),CH,,3271,1724,17,,,,,,
La Tour-de-Peilz,CH,,5889,2230,22,,,,,,
Tübach,CH,,3218,1722,17,,,,,,
Stalden (VS),CH,,6293,2313,23,,,,,,
Thierachern,CH,,941,247,2,,,,,,
Romont (BE),CH,,442,241,2,,,,,,
Köniz,CH,,355,246,2,,,,,,
Churwalden,CH,,3911,1848,18,,,,,,
Gilly,CH,,5857,2228,22,,,,,,
Brusio,CH,,3551,1842,18,,,,,,
Krattigen,CH,,566,249,2,,,,,,
Thusis,CH,1684187,3668,1851,18,0.9999948132332082,7.99283822075726e-05,0.015,0.0005186782316113952,16771835.898149313,16771849.303606413
Riva San Vitale,CH,,5263,2106,21,,,,,,
Lüscherz,CH,,497,243,2,,,,,,
Rebstein,CH,,3255,1723,17,,,,,,
Hausen (AG),CH,,4100,1904,19,,,,,,
Delémont,CH,,6711,2601,26,,,,,,
Pfäffikon,CH,,177,108,1,,,,,,
Rubigen,CH,,623,246,2,,,,,,
Marchissy,CH,,5430,2228,22,,,,,,
Disentis/Mustér,CH,,3982,1850,18,,,,,,
Oberkirch,CH,,1095,314,3,,,,,,
Birrhard,CH,,4093,1904,19,,,,,,
Gletterens,CH,,2022,1001,10,,,,,,
Kleinlützel,CH,,2619,1110,11,,,,,,
Crans (VD),CH,,5713,2228,22,,,,,,
Rorbas,CH,,68,103,1,,,,,,
Reiden,CH,,1140,315,3,,,,,,
Coinsins,CH,,5710,2228,22,,,,,,
Martigny,CH,,6136,2307,23,,,,,,
Oberriet (SG),CH,,3254,1723,17,,,,,,
Kemmental,CH,,4666,2013,20,,,,,,
Lauerz,CH,,1365,506,5,,,,,,
Froideville,CH,,5523,2223,22,,,,,,
Mauborget,CH,,5562,2224,22,,,,,,
Binn,CH,,6054,2304,23,,,,,,
Courtételle,CH,,6710,2601,26,,,,,,
Schnottwil,CH,,2461,1103,11,,,,,,
Oberwil-Lieli,CH,,4074,1903,19,,,,,,
Ronco sopra Ascona,CH,,5125,2104,21,,,,,,
Triesen,CH,,7002,,,,,,,,
Lengwil,CH,,4683,2013,20,,,,,,
Steg-Hohtenn,CH,,6204,2309,23,,,,,,
Lax,CH,,6061,2304,23,,,,,,
Wohlenschwil,CH,,4046,1902,19,,,,,,
Häggenschwil,CH,,3201,1721,17,,,,,,
Eggersriet,CH,,3212,1721,17,,,,,,
Belprahon,CH,,681,241,2,,,,,,
Icogne,CH,,6239,2311,23,,,,,,
Weiach,CH,,102,104,1,,,,,,
Landiswil,CH,,613,246,2,,,,,,
Heimiswil,CH,,407,245,2,,,,,,
Lonay,CH,,5638,2227,22,,,,,,
Gsteigwiler,CH,,577,250,2,,,,,,
Yverdon-les-Bains,CH,,5938,2224,22,,,,,,
Courchapoix,CH,,6706,2601,26,,,,,,
Kirchdorf (BE),CH,,872,246,2,,,,,,
Ballaigues,CH,,5744,2224,22,,,,,,
Wauwil,CH,,1146,315,3,,,,,,
Obergoms,CH,,6076,2304,23,,,,,,
Ried bei Kerzers,CH,,2276,1005,10,,,,,,
Teufenthal (AG),CH,,4145,1905,19,,,,,,
Leuk,CH,,6110,2306,23,,,,,,
Oberuzwil,CH,,3407,1728,17,,,,,,
Eiken,CH,,4161,1906,19,,,,,,
Crémines,CH,,691,241,2,,,,,,
Stabio,CH,,5266,2106,21,,,,,,
Hittnau,CH,,173,108,1,,,,,,
Chevilly,CH,,5476,2227,22,,,,,,
Feuerthalen,CH,,27,102,1,,,,,,
Rheineck,CH,,3235,1723,17,,,,,,
Lovatens,CH,,5674,2222,22,,,,,,
Knonau,CH,,7,101,1,,,,,,
Niederried bei Interlaken,CH,,588,250,2,,,,,,
Chardonne,CH,,5882,2230,22,,,,,,
Wald (ZH),CH,,120,105,1,,,,,,
Dierikon,CH,,1053,312,3,,,,,,
Merishausen,CH,,2936,1403,14,,,,,,
Willisau,CH,,1151,315,3,,,,,,
Schongau,CH,,1041,313,3,,,,,,
Lostorf,CH,,2493,1105,11,,,,,,
Wyssachen,CH,,960,244,2,,,,,,
Hellikon,CH,,4251,1909,19,,,,,,
Daillens,CH,,5480,2223,22,,,,,,
Sauge,CH,,449,241,2,,,,,,
Corsier (GE),CH,,6619,,25,,,,,,
Aeschi bei Spiez,CH,,562,249,2,,,,,,
Schupfart,CH,,4259,1909,19,,,,,,
Ettiswil,CH,,1128,315,3,,,,,,
Samnaun,CH,,3752,1843,18,,,,,,
Mägenwil,CH,,4032,1902,19,,,,,,
Ennetbaden,CH,,4026,1902,19,,,,,,
