name,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,geom_type
Adliswil,1682077,131,106,1,0.9992849252989153,0.002948373257329559,3.647,0.07153199131356722,7768065.370789585,7767836.33922758,MultiPolygon
Rheinwald,9173036,3714,1851,18,0.9993355308373875,0.006668539215770971,62.012,0.06646678330557013,136810626.26585636,136801502.99559247,MultiPolygon
Grens,1684998,5722,2228,22,0.9999920267880803,2.1910005484354746e-05,0.013,0.0007973244578439629,2559718.954601545,2559719.515436108,MultiPolygon
Val Terbi,2758687,6730,2601,26,0.9999969347895515,9.449885629062906e-06,0.015,0.00030652152878267837,46687399.64717521,46687404.05908108,MultiPolygon
Windisch,1684461,4123,1904,19,0.9976517336170944,0.09497229407282615,7.458,0.23521432135524167,4906775.814463526,4911435.892019533,MultiPolygon
Pleigne,1685621,6719,2601,26,0.9969027741561136,0.05243957284619101,18.93,0.3101216341584247,17840527.889158078,17831172.392539497,MultiPolygon
Risch,1683147,1707,,9,0.9990095554146378,0.01568947618927588,11.776,0.09908575823419309,22967071.472768426,22963468.059558332,MultiPolygon
Zeihen,1684470,4183,1906,19,0.9990867310096103,0.04348178211530889,8.308,0.09138848545568515,6875403.28565953,6878392.833535749,MultiPolygon
Vucherens,1685197,5692,2222,22,0.9976625141227146,0.04089510061760773,5.703,0.23397424761825797,3276336.9538380806,3274997.0925442367,MultiPolygon
Roche (VD),1685121,5413,2221,22,0.9992086697774237,0.018540420322889457,3.15,0.07917168352801056,6447636.674207325,6448832.093147616,MultiPolygon
Schönenwerd,1683574,2583,1108,11,0.9981318323025063,0.019909851811405106,5.904,0.1870100502878701,3712533.9929903927,3713273.153006845,MultiPolygon
Corcelles-près-Payerne,1684921,5816,2222,22,0.99950218790356,0.012625401754841786,15.778,0.04979674689432375,12115641.73945062,12117171.387895403,MultiPolygon
Reinach (AG),1684398,4141,1905,19,0.9999945890505854,2.467372178608101e-07,0.015,0.00054109640585781,9475059.763963653,9475059.787342152,MultiPolygon
Missy,1685049,5821,2222,22,0.9992151832415519,0.004973623206702514,3.052,0.07851443725923762,3113589.3004204566,3113744.1586204637,MultiPolygon
Düdingen,1683310,2293,1006,10,0.9997950821408785,0.0048049509915739485,8.936,0.020493393333135136,30763230.16611676,30761752.007983852,MultiPolygon
Montpreveyres,1685061,5792,2226,22,0.9976802685216718,0.039330848778234506,5.541,0.23219684649609254,4123637.305630929,4122015.4440780883,MultiPolygon
