name,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,geom_type
Adliswil,1682077,131,106,1,0.9990168020443336,0.024717875184347742,3.767,0.09835599599163818,7768065.370789585,7766145.270086994,MultiPolygon
Rheinwald,9173036,3714,1851,18,0.9993355308373875,0.006668539215770971,62.012,0.06646678330557013,136810626.26585636,136801502.99559247,MultiPolygon
Grens,1684998,5722,2228,22,0.9945938061415479,0.28218328883266036,67.254,0.5413198571071873,2559718.954601545,2552495.8554705773,MultiPolygon
Val Terbi,2758687,6730,2601,26,0.9979266914389417,0.011621856047473336,59.182,0.2075339492155346,46687399.64717521,46681973.704795904,MultiPolygon
Windisch,1684461,4123,1904,19,0.9962353458851371,0.023403120656331038,7.458,0.37713124350284416,4906775.814463526,4905627.475799331,MultiPolygon
Pleigne,1685621,6719,2601,26,0.9964848154567886,0.04627433693047671,28.549,0.35205589362190487,17840527.889158078,17832272.303172473,MultiPolygon
Risch,1683147,1707,,9,0.9990095554146378,0.01568947618927588,11.776,0.09908575823419309,22967071.472768426,22963468.059558332,MultiPolygon
Zeihen,1684470,4183,1906,19,0.9957142043919713,0.019580311101980843,15.612,0.4294578865590546,6875403.28565953,6874057.060306682,MultiPolygon
Vucherens,1685197,5692,2222,22,0.9976625141227146,0.04089510061760773,5.703,0.23397424761825797,3276336.9538380806,3274997.0925442367,MultiPolygon
Roche (VD),1685121,5413,2221,22,0.9988268125516707,0.01633574489899726,17.873,0.11739719173426369,6447636.674207325,6448689.943686438,MultiPolygon
Schönenwerd,1683574,2583,1108,11,0.9980695503628283,0.01576983394124164,5.904,0.19324671167444352,3712533.9929903927,3713119.4534360995,MultiPolygon
Corcelles-près-Payerne,1684921,5816,2222,22,0.9980447861492853,0.06002421033389738,46.983,0.19577145268305784,12115641.73945062,12122914.05773161,MultiPolygon
Reinach (AG),1684398,4141,1905,19,0.9955532770944073,0.03327427279261139,21.439,0.445589015263836,9475059.763963653,9471907.006730529,MultiPolygon
