name,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,geom_type
Adliswil,1682077,131,106,1,0.9990168020443336,0.024717875184299784,3.766631589069694,0.09835599599163818,7768065.370789585,7766145.270086998,MultiPolygon
Rheinwald,9173036,3714,1851,18,0.9993322291484457,0.006339227219057491,62.0123504100709,0.06679727121492451,136810626.26585636,136801953.52939755,MultiPolygon
Grens,1684998,5722,2228,22,0.9945938061415479,0.28218328883267857,67.25357499402331,0.5413198571071873,2559718.954601545,2552495.855470577,MultiPolygon
Val Terbi,2758687,6730,2601,26,0.9979266914389417,0.01162185604723396,59.18211854534995,0.2075339492155346,46687399.64717521,46681973.704796016,MultiPolygon
Windisch,1684461,4123,1904,19,0.9962353458851371,0.023403120656387978,7.458488842791893,0.37713124350284416,4906775.814463526,4905627.475799329,MultiPolygon
Pleigne,1685621,6719,2601,26,0.9963958497029862,0.052596013991721154,28.548971904882976,0.3609707441388944,17840527.889158078,17831144.4826133,MultiPolygon
Risch,1683147,1707,,9,0.9990095554146378,0.015689476189146116,11.775781394376118,0.09908575823419309,22967071.472768426,22963468.05955836,MultiPolygon
Zeihen,1684470,4183,1906,19,0.9957142043919713,0.019580311101980843,15.61196368737969,0.4294578865590546,6875403.28565953,6874057.060306682,MultiPolygon
Vucherens,1685197,5692,2222,22,0.9976625141227146,0.0408951006175651,5.702576261590544,0.23397424761825797,3276336.9538380806,3274997.092544238,MultiPolygon
Roche (VD),1685121,5413,2221,22,0.9988268125516707,0.016335744898968368,17.872826015362886,0.11739719173426369,6447636.674207325,6448689.943686436,MultiPolygon
Schönenwerd,1683574,2583,1108,11,0.9980695503628283,0.015769833941266728,5.903732043158831,0.19324671167444352,3712533.9929903927,3713119.4534361004,MultiPolygon
Corcelles-près-Payerne,1684921,5816,2222,22,0.9972144398459046,0.1282708469591055,219.1605827343605,0.2791234260364272,12115641.73945062,12131182.575724345,MultiPolygon
Reinach (AG),1684398,4141,1905,19,0.9949927719487306,0.03212047743615258,21.438735692391717,0.5018989490976519,9475059.763963653,9472016.329530107,MultiPolygon
Missy,1685049,5821,2222,22,0.9991406475948367,0.009792485187065615,3.0523647637603983,0.08597639012287873,3113589.3004204566,3113894.1981914863,MultiPolygon
Düdingen,1683310,2293,1006,10,0.9997158581031662,0.00489905710421903,8.935543827363976,0.028417530975304403,30763230.16611676,30761723.05790382,MultiPolygon
Montpreveyres,1685061,5792,2226,22,0.9971935987221163,0.02182287504915579,5.5408842108819485,0.2810038106428308,4123637.305630929,4122737.4094142406,MultiPolygon
Schattdorf,1683102,1213,,4,0.9986929641688421,0.04092573680944419,61.37441641334181,0.13076229291455965,16333169.079077043,16326484.609287098,MultiPolygon
Gachnang,1684523,4571,2012,20,0.9987290564709549,0.050519849685434486,3.90587750132737,0.12714304478152327,9736115.557591831,9731196.886646936,MultiPolygon
Treytorrens (Payerne),1685167,5828,2222,22,0.9984813117800753,0.04857094373151837,6.398208311455897,0.15194732023500349,3073698.9655139744,3072206.0409189584,MultiPolygon
Chavannes-des-Bois,1684890,5708,2228,22,0.9976516561947686,0.05420001256224831,3.7407417042284923,0.23517415554071977,2124289.277579928,2125440.6426352346,MultiPolygon
Horn,1684531,4421,2011,20,0.9980972048178997,0.009108161977768684,8.833132766874556,0.1904520483466007,1754364.9954455413,1754205.205040075,MultiPolygon
Arni (BE),1682366,602,246,2,0.9982839271568924,0.042539731652771674,29.45968842953366,0.17179118804613086,10429492.617229909,10433929.295402024,MultiPolygon
Morlon,1683367,2143,1003,10,0.9990353002604404,0.0012779176570453742,7.027770554225235,0.09651714539186955,4236409.299949351,4236463.4377718195,MultiPolygon
Saubraz,1685147,5437,2227,22,0.9979986011420212,0.027534367624022185,3.370218977568424,0.20036794751451628,3707138.612721019,3708159.3498949776,MultiPolygon
Berlingen,1684503,4801,2012,20,0.9976715759189967,0.04168171281868779,7.1225468529940645,0.2331623849083205,3577561.257811057,3579052.4466204504,MultiPolygon
Münsingen,1682570,616,246,2,0.9982942709904703,0.006654291527104599,59.956788512802916,0.17072418075571158,15774325.734072614,15775375.403693395,MultiPolygon
Falera,1684074,3572,1850,18,0.9992556310853792,0.008069458909912681,35.921089132993586,0.074467610476314,22361420.679639373,22363225.12529279,MultiPolygon
Marsens,1683359,2140,1003,10,0.9985816870016895,0.0014474648000717201,18.68724387845805,0.14193297900455457,8312386.336375482,8312506.655241747,MultiPolygon
