name,bfs_nummer,relation,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,quality_category
Wiggiswil,553,https://osm.org/relation/1682722,0.9979096340986093,0.08965832146833048,4.868553253784573,0.20916149281624546,1441608.2568306713,1440315.735065448,Excellent
Crans-Montana,6253,https://osm.org/relation/6820012,0.9992684649517419,0.014362258166239435,28.768736006416287,0.0731750166229164,59655520.011339195,59646952.131544754,Excellent
Root,1065,https://osm.org/relation/1682912,0.9984711725748084,0.013572524444903072,3.755545965829682,0.15301008054675344,9900112.997988045,9901456.69324477,Excellent
Seon,4209,https://osm.org/relation/1684425,0.996253417625325,0.028491246916176445,35.116171585653056,0.3754148712391182,9620356.128180506,9623097.087599201,Excellent
Kloten,62,https://osm.org/relation/1682154,0.9990051207546629,0.011909992035872353,4.05580242940205,0.09953151094905564,19173964.280319445,19171680.662700698,Excellent
Lantsch/Lenz,3513,https://osm.org/relation/1684100,0.9991352029916127,8.379967822288886e-05,3.744191841007251,0.0865171469584897,21808601.962434094,21808620.237972364,Excellent
Brunegg,4193,https://osm.org/relation/1684282,0.9878740324645132,0.14563619008509135,19.46037842698571,1.2208819307335066,1554223.4815695633,1556486.993433529,Excellent
Sissach,2861,https://osm.org/relation/1683708,0.9989182456562883,0.005475827398167553,4.125045011195017,0.10823693901074978,8896993.186806625,8897480.370797161,Excellent
Ammerswil,4191,https://osm.org/relation/1684254,0.9929061081971993,0.037917932265527865,15.728531871289404,0.7117793302036304,3186607.6698899195,3185399.3741520825,Excellent
Le Noirmont,6754,https://osm.org/relation/1685608,0.9949096709672901,0.0072112601122348245,32.4741861162075,0.5103133809369698,20388273.9942776,20386803.742807478,Excellent
Crassier,5714,https://osm.org/relation/1684929,0.9963743152713516,0.1212410405383411,5.056659336605642,0.3634471361249599,2030300.128586476,2032761.6855884255,Excellent
La Baroche,6810,https://osm.org/relation/1685604,0.9978993141849316,0.020886494705136753,28.548971904882976,0.21026749649886534,31071562.9339074,31065073.173560407,Excellent
Meyrin,6630,https://osm.org/relation/1685516,0.9989675742184042,0.055229557796779134,5.1029698830427295,0.1033244257699139,9937310.729679424,9942799.062452318,Excellent
Veltheim (AG),4120,https://osm.org/relation/1684450,0.9967619364353825,0.062365814474038585,11.395255610062573,0.3242303234244801,5238638.573873467,5235371.454259519,Excellent
Suscévaz,5930,https://osm.org/relation/1685158,0.9781112611070902,0.030118008984093583,172.5728701349245,2.212761546535715,4156739.7678259467,4155487.8405692275,Good
Endingen,4305,https://osm.org/relation/3411173,0.9961331310596192,0.0729587075529952,18.849111961575066,0.3875773102499031,11913840.932439508,11922533.116803735,Excellent
Morschach,1366,https://osm.org/relation/1683091,0.9987101912250649,0.03614340565395346,15.82857032923238,0.12908743558790126,23502309.011295896,23510803.546179894,Excellent
Gränichen,4006,https://osm.org/relation/1684319,0.9982109326595501,0.03331323080171014,16.592820002704688,0.17909674191753222,17233142.83984613,17238883.756494757,Excellent
Cheseaux-sur-Lausanne,5582,https://osm.org/relation/1684899,0.98858634262041,0.07403249667105918,101.37865097006244,1.1483416176240602,4584763.512573439,4588157.727468261,Excellent
