name,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,geom_type
Ramsen,,2963,1405,14,,,,,,,
Rolle,,5861,2228,22,,,,,,,
Mandach,,4105,1904,19,,,,,,,
Altdorf (UR),,1201,,4,,,,,,,
Gampel-Bratsch,,6118,2306,23,,,,,,,
Oulens-sous-Echallens,,5529,2223,22,,,,,,,
Kaisten,,4169,1906,19,,,,,,,
Trub,,908,245,2,,,,,,,
Pohlern,,936,247,2,,,,,,,
Hinwil,,117,105,1,,,,,,,
Blatten,,6192,2309,23,,,,,,,
Ringgenberg (BE),,590,250,2,,,,,,,
Dürnten,,113,105,1,,,,,,,
Montilliez,,5540,2223,22,,,,,,,
Deitingen,,2516,1106,11,,,,,,,
Arlesheim,,2763,1301,13,,,,,,,
Eggerberg,,6004,2301,23,,,,,,,
Siglistorf,,4319,1911,19,,,,,,,
Bardonnex,,6605,,25,,,,,,,
Bettlach,,2543,1107,11,,,,,,,
Boécourt,,6702,2601,26,,,,,,,
Le Cerneux-Péquignot,,6434,,24,,,,,,,
Port-Valais,,6154,2308,23,,,,,,,
Chavannes-sur-Moudon,,5665,2222,22,,,,,,,
Oberdiessbach,,619,246,2,,,,,,,
Rain,,1037,313,3,,,,,,,
Stadel,,100,104,1,,,,,,,
Abtwil,,4221,1908,19,,,,,,,
Thayngen,,2920,1402,14,,,,,,,
Serravalle,,5050,2102,21,,,,,,,
Giornico,,5073,2103,21,,,,,,,
Thal,,3237,1722,17,,,,,,,
Ursenbach,,344,244,2,,,,,,,
Bofflens,,5747,2224,22,,,,,,,
Saint-Livres,,5435,2227,22,,,,,,,
Lohn (SH),,2917,1402,14,,,,,,,
Auswil,,322,244,2,,,,,,,
Ursins,,5932,2224,22,,,,,,,
Hettlingen,,221,110,1,,,,,,,
Neckertal,,3396,1727,17,,,,,,,
Trun,,3987,1850,18,,,,,,,
Grosswangen,,1086,314,3,,,,,,,
Härkingen,,2402,1101,11,,,,,,,
Degersheim,,3401,1728,17,,,,,,,
Klosters,,3871,1849,18,,,,,,,
Trogen,,3025,1502,15,,,,,,,
Lützelflüh,,955,245,2,,,,,,,
Grosshöchstetten,,608,246,2,,,,,,,
Démoret,,5912,2224,22,,,,,,,
Lutzenberg,,3033,1503,15,,,,,,,
Rorschacherberg,,3216,1722,17,,,,,,,
Sarmenstorf,,4076,1903,19,,,,,,,
Premier,,5759,2224,22,,,,,,,
Isenthal,,1211,,4,,,,,,,
Kappel am Albis,,6,101,1,,,,,,,
Grandson,,5561,2224,22,,,,,,,
Vully-les-Lacs,,5464,2222,22,,,,,,,
Villigen,,4121,1904,19,,,,,,,
Mellikon,,4314,1911,19,,,,,,,
Vevey,,5890,2230,22,,,,,,,
Hünenberg,,1703,,9,,,,,,,
Eichberg,,3252,1723,17,,,,,,,
Alpthal,,1361,506,5,,,,,,,
Arth,,1362,506,5,,,,,,,
Adligenswil,,1051,312,3,,,,,,,
Zwingen,,2793,1302,13,,,,,,,
Altikon,,211,110,1,,,,,,,
Stetten (AG),,4041,1902,19,,,,,,,
Diegten,,2884,1305,13,,,,,,,
Leuzigen,,388,243,2,,,,,,,
Schwadernau,,748,242,2,,,,,,,
Bellwald,,6052,2304,23,,,,,,,
Valbirse,,717,241,2,,,,,,,
Guttet-Feschel,,6117,2306,23,,,,,,,
Hofstetten bei Brienz,,580,250,2,,,,,,,
Bätterkinden,,533,245,2,,,,,,,
Coppet,,5712,2228,22,,,,,,,
Chiasso,,5250,2106,21,,,,,,,
Lussery-Villars,,5487,2223,22,,,,,,,
Sommeri,,4446,2011,20,,,,,,,
Bülach,,53,103,1,,,,,,,
Schwanden bei Brienz,,592,250,2,,,,,,,
Luins,,5858,2228,22,,,,,,,
Morbio Inferiore,,5257,2106,21,,,,,,,
Berolle,,5424,2227,22,,,,,,,
Vuadens,,2160,1003,10,,,,,,,
Melide,,5198,2105,21,,,,,,,
Saint-Barthélemy (VD),,5535,2223,22,,,,,,,
Saillon,,6140,2307,23,,,,,,,
Blenio,,5049,2102,21,,,,,,,
Aubonne,,5422,2227,22,,,,,,,
Ormont-Dessus,,5411,2221,22,,,,,,,
Bedretto,,5063,2103,21,,,,,,,
Habkern,,579,250,2,,,,,,,
Raperswilen,,4846,2013,20,,,,,,,
Ehrendingen,,4049,1902,19,,,,,,,
La Neuveville,,723,241,2,,,,,,,
Heiligenschwendi,,927,247,2,,,,,,,
Les Planchettes,,6422,,24,,,,,,,
Etoy,,5636,2227,22,,,,,,,
Montcherand,,5756,2224,22,,,,,,,
Baden,,4021,1902,19,,,,,,,
Zizers,,3947,1845,18,,,,,,,
Aarburg,,4271,1910,19,,,,,,,
Reitnau,,4281,1910,19,,,,,,,
Chénens,,2177,1004,10,,,,,,,
Freimettigen,,607,246,2,,,,,,,
Turbenthal,,228,110,1,,,,,,,
Horrenbach-Buchen,,932,247,2,,,,,,,
Wartau,,3276,1724,17,,,,,,,
Beckenried,,1501,,7,,,,,,,
Gossau (SG),,3443,1721,17,,,,,,,
Bournens,,5472,2223,22,,,,,,,
Zuzwil (BE),,557,246,2,,,,,,,
Waldkirch,,3444,1721,17,,,,,,,
Signau,,907,245,2,,,,,,,
Burgdorf,,404,245,2,,,,,,,
Bullet,,5552,2224,22,,,,,,,
Ermatingen,,4646,2013,20,,,,,,,
Thun,,942,247,2,,,,,,,
Linden,,614,246,2,,,,,,,
Embrach,,56,103,1,,,,,,,
Böztal,,4185,1906,19,,,,,,,
Seehof,,709,241,2,,,,,,,
Laconnex,,6627,,25,,,,,,,
Bretigny-sur-Morrens,,5515,2223,22,,,,,,,
Péry-La Heutte,,450,241,2,,,,,,,
Mendrisio,,5254,2106,21,,,,,,,
Uesslingen-Buch,,4616,2012,20,,,,,,,
Collombey-Muraz,,6152,2308,23,,,,,,,
Münchwilen (AG),,4172,1906,19,,,,,,,
Faido,,5072,2103,21,,,,,,,
Mümliswil-Ramiswil,,2428,1102,11,,,,,,,
Bovernier,,6131,2307,23,,,,,,,
Aigle,,5401,2221,22,,,,,,,
Randa,,6287,2313,23,,,,,,,
Coeuve,,6781,2603,26,,,,,,,
Lengnau (BE),,387,242,2,,,,,,,
La Praz,,5758,2224,22,,,,,,,
Fully,,6133,2307,23,,,,,,,
Echichens,,5634,2227,22,,,,,,,
Steckborn,,4864,2012,20,,,,,,,
Hefenhofen,,4416,2011,20,,,,,,,
Vuisternens-devant-Romont,,2113,1002,10,,,,,,,
Kriegstetten,,2525,1106,11,,,,,,,
Dägerlen,,214,110,1,,,,,,,
Vaux-sur-Morges,,5650,2227,22,,,,,,,
Vordemwald,,4287,1910,19,,,,,,,
Rapperswil-Jona,,3340,1726,17,,,,,,,
Wisen (SO),,2502,1105,11,,,,,,,
Corsier-sur-Vevey,,5884,2230,22,,,,,,,
Holziken,,4136,1905,19,,,,,,,
Erlinsbach (SO),,2503,1105,11,,,,,,,
La Rippe,,5726,2228,22,,,,,,,
Bönigen,,572,250,2,,,,,,,
Ogens,,5680,2223,22,,,,,,,
Cama,,3831,1847,18,,,,,,,
Niederweningen,,91,104,1,,,,,,,
Steinach,,3217,1722,17,,,,,,,
