name,country,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Schattdorf,CH,1683102,1213,,4,0.9996559940465594,0.013906430257654792,3.516,0.034408905725562454,16333169.079077043,16335440.43984389
Gachnang,CH,1684523,4571,2012,20,0.9999958818155664,3.152047251143398e-05,0.017,0.00041181935649127845,9736115.557591831,9736118.62646146
Treytorrens (Payerne),CH,1685167,5828,2222,22,0.9993321338655723,0.035750399926288944,3.214,0.06679698092277987,3073698.9655139744,3072600.105841273
Chavannes-des-Bois,CH,1684890,5708,2228,22,0.9999934547133394,0.00018956155586888847,0.014,0.0006545301876712108,2124289.277579928,2124285.250744122
Horn,CH,1684531,4421,2011,20,0.9999891593527938,4.941887894645784e-05,0.016,0.0010840708643185494,1754364.9954455413,1754365.8624330547
Arni (BE),CH,1682366,602,246,2,0.9999949449068967,1.7141641976984848e-05,0.015,0.0005055105447440534,10429492.617229909,10429490.829443624
Morlon,CH,1683367,2143,1003,10,0.9999939080739129,0.0001195771175897734,0.015,0.0006091948285823724,4236409.299949351,4236414.365725481
Saubraz,CH,1685147,5437,2227,22,0.9991619919646948,0.017154988157169634,3.37,0.08382874010047872,3707138.612721019,3706502.653531037
Berlingen,CH,1684503,4801,2012,20,0.9999919099379789,3.0094830765821967e-05,0.015,0.0008090093529032682,3577561.257811057,3577560.181150051
Münsingen,CH,1682570,616,246,2,0.9999963328562114,8.805300109232959e-06,0.016,0.00036671503502137137,15774325.734072614,15774324.345095893
Falera,CH,1684074,3572,1850,18,0.9999974653878437,4.969722380212343e-06,0.016,0.0002534615306605034,22361420.679639373,22361419.568338845
Marsens,CH,1683359,2140,1003,10,0.9999937042810667,4.384073349086276e-05,0.015,0.0006295737372457009,8312386.336375482,8312382.692164342
L'Isle,CH,1685009,5486,2227,22,0.9999960073381454,1.5804323214719542e-05,0.015,0.0003992670142472645,16222904.212987322,16222906.776907539
Wuppenau,CH,1684572,4791,2015,20,0.9999948025510073,8.641623964612411e-06,0.019,0.0005197462723644892,12119144.53982462,12119145.587115519
Wynigen,CH,1682733,424,245,2,0.9999972802866611,4.149541751861944e-06,0.016,0.000271971709456732,28320191.915642146,28320193.090800334
Fisibach,CH,1684308,4306,1911,19,0.9999941122923962,1.2566743723120569e-05,0.016,0.0005887725304268951,5769405.692854636,5769406.417881064
Tentlingen,CH,1683410,2307,1006,10,0.9999927050848298,0.0001925203454826359,0.016,0.0007294948799390582,3610249.0540108723,3610256.004474824
Unterengstringen,CH,1682222,249,111,1,0.9999508994606507,0.00036845459847146145,0.176,0.004910183526909652,3336885.2089399262,3336897.5038469243
Wiggiswil,CH,1682722,553,246,2,0.9987966112489409,0.04627239659089543,2.755,0.12038346732026788,1441608.2568306713,1440941.1901407836
Crans-Montana,CH,6820012,6253,2311,23,0.9999639340435362,0.003195089447419539,2.705,0.0036067183030965497,59655520.011339195,59657426.05856388
Root,CH,1682912,1065,312,3,0.9999948319372345,6.05126162862967e-05,0.016,0.0005168074557189048,9900112.997988045,9900107.007170655
Seon,CH,1684425,4209,1907,19,0.999996616414354,2.0964926967180753e-05,0.015,0.00033835917248502804,9620356.128180506,9620358.145081142
Kloten,CH,1682154,62,103,1,0.9999966683311549,3.261673853255047e-05,0.019,0.0003331674936357626,19173964.280319445,19173970.53424124
Lantsch/Lenz,CH,1684100,3513,1841,18,0.9999974668382873,1.0966481232254348e-05,0.016,0.0002533165058483861,21808601.962434094,21808604.354070336
Brunegg,CH,1684282,4193,1907,19,0.9998837982239761,0.00042290123919450063,0.259,0.011620828211983899,1554223.4815695633,1554216.9087391999
Sissach,CH,1683708,2861,1304,13,0.9999953660641024,1.6137259897905946e-05,0.014,0.00046339470086023855,8896993.186806625,8896994.622537538
Ammerswil,CH,1684254,4191,1907,19,0.999994123471152,1.414510583784357e-05,0.014,0.0005876545699236139,3186607.6698899195,3186607.219140892
Le Noirmont,CH,1685608,6754,2602,26,0.9999971837462348,3.572132563481945e-05,0.014,0.00028162572266088684,20388273.9942776,20388266.711315855
Crassier,CH,1684929,5714,2228,22,0.999988710564187,5.445412801898298e-05,0.015,0.0011289496464703143,2030300.128586476,2030299.0230042448
La Baroche,CH,1685604,6810,2603,26,0.9999978585847279,5.549227911621028e-05,0.014,0.0002141416971479523,31071562.9339074,31071545.69158897
Meyrin,CH,1685516,6630,,25,0.9999966769068721,2.0602485011835053e-05,0.018,0.00033230983057976965,9937310.729679424,9937308.68234647
Veltheim (AG),CH,1684450,4120,1904,19,0.999995799179315,9.845547929137894e-05,0.014,0.0004200831576490185,5238638.573873467,5238643.731600183
Suscévaz,CH,1685158,5930,2224,22,0.9999581369104937,0.0015463329709056997,0.299,0.004186428946071031,4156739.7678259467,4156804.0448634913
Endingen,CH,3411173,4305,1911,19,0.9999967040917864,2.6748226007320324e-07,0.014,0.0003295913641849611,11913840.932439508,11913840.900572097
Morschach,CH,1683091,1366,506,5,0.9999978077844163,3.468019794313935e-05,0.014,0.00021922183658186226,23502309.011295896,23502317.161943182
Gränichen,CH,1684319,4006,1901,19,0.9999971209656903,4.580332175869192e-05,0.015,0.00028790391143775106,17233142.83984613,17233150.733197995
Cheseaux-sur-Lausanne,CH,1684899,5582,2225,22,0.9999938778260248,1.961550966745174e-05,0.016,0.000612219331444605,4584763.512573439,4584764.411898169
Mont-Tramelan,CH,1682557,437,241,2,0.9999922014405925,6.294032499463097e-05,0.008,0.0007798587361536007,4639706.079371432,4639703.159125347
Buckten,CH,1683635,2843,1304,13,0.9992236450479646,0.02347193728917133,3.145,0.0776565284414,1997945.9773439628,1997477.020717089
Nidau,CH,1682573,743,242,2,0.9999906952739742,0.00020015086228570867,0.016,0.000930476000329651,1521013.825836523,1521010.781514235
Staffelbach,CH,1684430,4284,1910,19,0.9999955646961096,3.733529909470421e-05,0.015,0.0004435314554347862,8933086.366180446,8933089.70137496
Grenchen,CH,1683510,2546,1107,11,0.9999975514385309,1.0366817943317404e-05,0.014,0.0002448564594844393,26026670.216175076,26026672.914312594
Rüttenen,CH,1683572,2555,1107,11,0.9999959432161486,7.622416000887305e-05,0.015,0.0004056790532166326,8765587.692268481,8765581.010772893
Magliaso,CH,1684704,5193,2105,21,0.999991134013383,2.4937913144819662e-05,0.012,0.0008866027024922962,1755649.058666061,1755649.4964882983
Eschenbach (SG),CH,2743488,3342,1726,17,0.9999978740040245,1.8160053203411917e-05,0.017,0.00021259980414336602,54891727.67884562,54891717.71047867
Winterthur,CH,1682243,230,110,1,0.9999979397886672,9.284560628853503e-07,0.017,0.00020602134413369804,68070608.48568803,68070607.85368234
Bercher,CH,1684849,5512,2223,22,0.999993636943524,3.040893977214129e-05,0.018,0.0006363075752777894,4268816.601758026,4268815.303656156
Saint-Martin (FR),CH,1683395,2335,1007,10,0.998983144954724,0.010312643612216487,3.335,0.10173198463675107,9783759.605935514,9782750.641675478
Güttingen,CH,1684525,4656,2013,20,0.999995560070059,1.7802408065382874e-06,0.015,0.0004439939757827973,9546367.2070065,9546367.037058175
Benken (SG),CH,1683864,3312,1726,17,0.9995510555408403,0.032972452669992706,3.3,0.04491192879681492,16495443.313216446,16500882.265455602
Dully,CH,1684950,5855,2228,22,0.9999263094598972,0.006638965844507375,0.833,0.007369080911556804,5754563.734534591,5754181.691013755
Forel (Lavaux),CH,1684977,5604,2226,22,0.9999970410055693,3.98528375659822e-06,0.015,0.0002958998750034368,18508235.758285552,18508235.02067984
Liedertswil,CH,1683668,2890,1305,13,0.9999902433766705,0.0001909947932783862,0.015,0.0009756680242812754,1944730.3270051198,1944734.0413387876
Terre di Pedemonte,CH,2888313,5396,2104,21,0.9999966154630435,6.659719491194664e-05,0.017,0.00033845415542200884,11591013.873943152,11591006.15465305
Laupen,CH,1682527,667,246,2,0.9999935256764496,3.5278468329949723e-06,0.014,0.0006474344623243356,4138186.3209970095,4138186.4669858846
Echarlens,CH,1683311,2131,1003,10,0.9999944854031134,2.673144476213865e-05,0.014,0.000551461282914359,5195261.683478826,5195263.072247333
Bedano,CH,1684622,5148,2105,21,0.999975630954125,0.0007180602967700901,0.27,0.002436943029778848,1872834.4345800583,1872847.8826605573
Erschwil,CH,1683501,2615,1110,11,0.9990448326154765,0.04096030546244343,3.553,0.09554280616447694,7429920.896554045,7426877.578259199
Mézières (FR),CH,1683372,2087,1002,10,0.9999960818840863,2.4551574312774183e-05,0.013,0.0003918124073277715,8926625.004439065,8926627.196066037
Schaffhausen,CH,1683703,2939,1403,14,0.9999975277337554,1.522585411635566e-05,0.015,0.00024722691106726234,41845845.86024889,41845839.48886145
Quarten,CH,1683920,3295,1725,17,0.9998313276786196,0.006926446864149343,3.514,0.016868070576420154,73210401.47107047,73205330.59151354
Hergiswil (NW),CH,1683080,1507,,7,0.9999962659785241,9.827590810263265e-05,0.015,0.0003734026612434693,16993148.979022264,16993132.27885079
Frauenkappelen,CH,1682444,663,246,2,0.9999947444970512,0.00023518306072402767,0.028,0.0005255510579387089,9288071.166259628,9288049.322289577
Amden,CH,1683858,3311,1726,17,0.9999348516445158,0.004692232805133462,2.962,0.0065148949203148124,47618317.26937102,47616082.90706685
Gansingen,CH,1684314,4164,1906,19,0.999995689369374,3.238275026035402e-05,0.015,0.000431063921820149,8772862.676094988,8772859.835200777
Orny,CH,1685084,5493,2227,22,0.9999939311377843,1.46091182918457e-05,0.014,0.0006068881075514957,5549574.910338116,5549575.721082079
Künten,CH,1684345,4031,1902,19,0.9999942946363165,1.4166007664894028e-05,0.014,0.000570537955243941,4891175.1577484915,4891174.464864244
Leutwil,CH,1684353,4138,1905,19,0.9999944597326482,1.6837005240417327e-05,0.015,0.0005540282231249907,3746032.1095764246,3746031.478856802
Walliswil bei Wangen,CH,1682713,991,244,2,0.999257398365241,0.03281655384556329,3.001,0.07429993591623942,3071812.6300695003,3072820.693115282
Baulmes,CH,1684843,5745,2224,22,0.9999969600668702,6.402204870876402e-05,0.013,0.00030399387228370974,22501924.998638745,22501939.40483213
Sion,CH,2757528,6266,2312,23,0.9999979621895843,4.394501658201451e-07,0.016,0.00020378124959295456,34863829.66818103,34863829.82139019
Langrickenbach,CH,1684538,4681,2013,20,0.9999951804128804,8.398578687745204e-07,0.017,0.00048195987144326207,10826300.991587393,10826300.900661852
Oensingen,CH,1683565,2407,1101,11,0.9999959367659526,2.048421630528599e-05,0.014,0.0004063242717909191,12105841.676709691,12105844.156496486
Titterten,CH,1683716,2894,1305,13,0.9995262968384436,0.04462585314263456,2.778,0.047392110755846345,3711079.5228089946,3712735.6237068498
Unterlunkhofen,CH,1684448,4079,1903,19,0.9999923802230931,3.430296514767597e-05,0.015,0.0007619804628826597,4487647.534165759,4487645.994769589
Rechthalten,CH,1683385,2301,1006,10,0.999995802953772,8.360704960552507e-05,0.015,0.0004197056788680079,7305729.349988037,7305735.4580927985
Aeschi (SO),CH,1683474,2511,1106,11,0.999993674653583,6.179386241901241e-05,0.013,0.0006325364467771063,5476719.0615910385,5476715.6773147965
Cortaillod,CH,1685476,6408,,24,0.999993202153851,7.312911475753362e-05,0.015,0.0006797866767831027,3697260.0312420833,3697257.327468552
Mumpf,CH,1684369,4255,1909,19,0.9999921635900845,4.752005161804227e-05,0.012,0.0007836438759182711,3136162.5138230193,3136161.023516974
Dietwil,CH,1684292,4231,1908,19,0.9999948534703494,3.64673981526723e-05,0.016,0.0005146543831027651,5491952.143803347,5491954.146575402
Flumenthal,CH,1683505,2545,1107,11,0.99871765807703,0.009672511969644899,3.273,0.1283226708009869,3105947.717275366,3106248.1404400906
Davos,CH,1684068,3851,1849,18,0.9999992610259516,7.026939086299881e-06,0.016,7.389742948444557e-05,284001810.4379151,284001790.48128086
Pieterlen,CH,1682605,392,242,2,0.9999959033381447,1.629365127563555e-05,0.015,0.00040966699121443284,8354631.304577433,8354629.943302942
Küttigen,CH,1684346,4008,1901,19,0.9999970846230319,5.669673393912037e-06,0.016,0.0002915381300630299,11894822.423323378,11894823.09772096
Mont-Vully,CH,5817420,2284,1005,10,0.9996994462608217,0.0005200145162842983,2.848,0.030059813066477335,24336941.49937409,24336814.943745475
Mammern,CH,1684541,4826,2012,20,0.9999941219552014,5.832353214401923e-06,0.015,0.0005878062245858916,5455630.215619006,5455630.53381063
Vufflens-le-Château,CH,1685199,5653,2227,22,0.9999903423899102,0.0002490659127102448,0.018,0.0009657644696846529,2134530.101144495,2134524.7847576165
Tolochenaz,CH,1685164,5649,2227,22,0.9999927985170002,0.00046528120200287233,0.011,0.0007201525684271665,5600565.138752958,5600591.197129754
Avegno Gordevio,CH,1684620,5324,2108,21,0.9999977013918884,4.075130289317702e-05,0.016,0.00022986112218801252,27332305.65451448,27332316.792785145
Braunau,CH,1684510,4723,2014,20,0.9999948810068569,5.4810920288758094e-05,0.015,0.0005119007647041631,9170493.235630974,9170498.262062712
Champéry,CH,1685287,6151,2308,23,0.9999980475510899,3.3296676018694624e-05,0.149,0.00019524504913766405,38845518.49352269,38845505.55925625
Acquarossa,CH,1684610,5048,2102,21,0.9999982667202016,2.0098158095878118e-05,0.015,0.00017332811275452552,61782519.66719171,61782507.25004323
Inwil,CH,1682882,1033,313,3,0.9999961056857744,1.688341074478244e-05,0.016,0.0003894321480644758,10317105.416156316,10317103.674277032
Bernex,CH,1685451,6607,,25,0.9999959412891735,1.3556008120937715e-05,0.015,0.0004058718787699564,12954228.936182452,12954227.180106126
Commugny,CH,1684914,5711,2228,22,0.9999948697864618,6.435726166594607e-05,0.015,0.0005130228348768068,6528818.856711662,6528823.058480698
Wiesendangen,CH,3411226,298,110,1,0.9998744096505848,0.0018702929315461822,2.928,0.012559706185177945,19174516.670451887,19174158.05082194
Yvonand,CH,1685207,5939,2224,22,0.9999212755311544,0.005706695859383784,3.293,0.007872981411001888,20826438.966450814,20827627.46798097
Benken (ZH),CH,1682088,22,102,1,0.9999946170662889,5.7835072490381086e-05,0.014,0.0005382946643599652,5656994.136288582,5656990.864561923
Cornaux,CH,1685474,6451,,24,0.999994968575013,6.88081574193678e-05,0.014,0.0005031435913342129,4727198.484408529,4727195.231710354
