name,bfs_nummer,status,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Adliswil,131,https://osm.org/relation/1682077,0.02874565215536068,87.62646615611061,339.33254798525587,106.09355490336831,7768065.379812896,961184.1987866033
Rheinwald,3714,https://osm.org/relation/9173036,0.14633485302355784,82.25181411217555,1561.6805249581419,87.68600391675736,136810626.43105045,24281404.29327991
Grens,5722,https://osm.org/relation/1684998,0.07530634724484693,70.88931765111668,262.65824451572695,111.02680531627173,2559718.9583235714,745151.65498172
Val Terbi,6730,https://osm.org/relation/2758687,0.032154677071413826,84.28146558667893,903.6766492837419,108.50858383537954,46687399.70313966,7338574.989022762
Windisch,4123,https://osm.org/relation/1684461,0.16335085459734489,65.0828221905086,862.3982080581208,97.02863161906282,4906775.819966057,1713307.637770678
Pleigne,6719,https://osm.org/relation/1685621,0.09283573992330638,81.50639600790926,1203.229193093968,98.36168297062663,17840527.91084985,3299356.581930989
Risch,1707,https://osm.org/relation/1683147,0.1451884438300625,75.29034665877344,995.7645981112828,93.08795719724039,22967071.499547962,5675083.750169943
Zeihen,4183,https://osm.org/relation/1684470,0.056253379544185314,77.67554445644858,179.74188089909072,109.2950742255998,6875403.293482235,1534896.3516933122
Vucherens,5692,https://osm.org/relation/1685197,0.15537936272337802,75.5504536634065,242.03996809616046,90.97674627650692,3276336.9583963654,801049.5227860576
Roche (VD),5413,https://osm.org/relation/1685121,0.21347869906247682,74.66670126240011,350.05415560645514,81.23530248206762,6447636.682941227,1633399.0624045772
Schönenwerd,2583,https://osm.org/relation/1683574,0.15920241299988708,74.52068042466877,296.80642539767786,91.0131897019817,3712533.997254575,945928.4015033122
Corcelles-près-Payerne,5816,https://osm.org/relation/1684921,0.1665056824572459,72.42382664152893,678.7217527760388,91.15602019541433,12115641.755501162,3341030.3739883085
Reinach (AG),4141,https://osm.org/relation/1684398,0.014896211834178696,70.97150855888475,488.3551558535099,125.24084159329885,9475059.774928309,2750466.915805618
Missy,5821,https://osm.org/relation/1685049,0.322362530477904,65.85820707256279,202.78228673051873,68.74023047495909,3113589.304512178,1063035.21295738
Düdingen,2293,https://osm.org/relation/1683310,0.0067500939159738475,85.23764406730368,570.2720679965191,113.22343046302154,30763230.206430286,4541377.53946799
Montpreveyres,5792,https://osm.org/relation/1685061,0.03708894607534634,62.05514103334481,312.1167032638111,128.0783389252586,4123637.311360088,1564708.3620919576
Schattdorf,1213,https://osm.org/relation/1683102,0.23900967168743395,70.24312865735016,406.362556381021,79.69568469096285,16333169.099207778,4860240.115028698
Gachnang,4571,https://osm.org/relation/1684523,0.6361868839034658,36.3203981887076,271.86088415103166,36.394855968005764,9736115.567876844,6199919.625511224
Treytorrens (Payerne),5828,https://osm.org/relation/1685167,0.18382199726093104,74.14910482154895,77.08979461398495,86.76704141951807,3073698.969663892,794578.6987489428
Chavannes-des-Bois,5708,https://osm.org/relation/1684890,0.2586109771769397,70.51772228865083,74.3788842131369,76.27197051835547,2124289.280702217,626288.8651290493
Horn,4421,https://osm.org/relation/1684531,0.07920931887673378,77.72083443903158,85.7497023041757,104.3296366836874,1754364.997214647,390857.8822731302
Arni (BE),602,https://osm.org/relation/1682366,0.00252319876108075,76.94909698473266,396.88407305636935,122.4315021147735,10430054.685462143,2404221.7899852265
Morlon,2143,https://osm.org/relation/1683367,0.4929584089174193,50.058473595280994,7.028721807052763,50.92344814396368,4236409.305734751,2115727.4720354937
Saubraz,5437,https://osm.org/relation/1685147,0.4078834596024428,15.64164285737325,298.4180136380175,77.535986292138,3707138.618078614,3127281.235210995
Berlingen,4801,https://osm.org/relation/1684503,0.10758322881928899,77.2702146091483,395.1922964895032,98.88748398886703,3577561.261598034,813171.9969874796
Münsingen,616,https://osm.org/relation/1682570,0.08133198530122009,85.77874783739674,215.8485428125938,97.03903369823651,15774714.50360999,2243361.927489127
Falera,3572,https://osm.org/relation/1684074,0.5302119436301539,44.87964371967525,221.03803737542148,47.623266164980436,22361420.704983417,12325694.761929166
Marsens,2140,https://osm.org/relation/1683359,0.022674186449932302,73.51750935175298,583.6786717676649,120.87388604355598,8312386.347734226,2201326.9371848786
L'Isle,5486,https://osm.org/relation/1685009,0.11826506194332106,51.29774676530337,476.19683906770604,117.24945767055488,16222904.235783659,7900919.902933683
Wuppenau,4791,https://osm.org/relation/1684572,0.16402778874690188,72.86139733513906,901.9038280276113,91.30738959401506,12119144.552336445,3288966.486438726
Wynigen,424,https://osm.org/relation/1682733,0.12001109296901248,64.35965462352978,514.0756460777304,106.57215810312502,28320191.950296704,10093414.22236506
Fisibach,4306,https://osm.org/relation/1684308,0.05478703613028937,66.22255871905763,458.27970231816266,119.88028620067324,5769405.69922964,1948757.6223166338
Tentlingen,2307,https://osm.org/relation/1683410,0.06904379183396826,61.75518760505271,360.4416034571373,120.38783380897384,3610249.058779755,1380732.9795206678
Unterengstringen,249,https://osm.org/relation/1682222,0.1803399513968368,38.57411826502488,274.42147918931255,112.09850680061662,3336885.212546148,2049711.16429047
Wiggiswil,553,https://osm.org/relation/1682722,0.2074090610856159,66.56188417286363,133.07107396423893,87.59404324439072,1441608.2586182754,482046.6392903425
Crans-Montana,6253,https://osm.org/relation/6820012,0.07214912829561401,86.06530614387256,729.1444019916793,98.60046725014253,59655520.09025398,8312814.092857495
Root,1065,https://osm.org/relation/1682912,0.06093419073360815,82.57620691769655,760.3533722365984,103.93544693070542,9900113.009644205,1724975.2057146116
Seon,4209,https://osm.org/relation/1684425,0.03903260722766484,82.8467987286792,125.92498434900101,108.35117742938216,9620356.139302736,1650199.0515924643
Kloten,62,https://osm.org/relation/1682154,0.057706454680567475,72.96181912323392,538.7082968477903,113.17625728723806,19173964.30097504,5184291.148944188
Lantsch/Lenz,3513,https://osm.org/relation/1684100,0.1640124115798763,83.41685840962528,963.3005827737412,83.72939877530813,21808601.98538807,3616551.3461181796
Brunegg,4193,https://osm.org/relation/1684282,0.0712155899885205,67.10363159974645,367.68243569787194,115.22617507706599,1554223.4833385579,511283.0828423053
Sissach,2861,https://osm.org/relation/1683708,0.01653221194283478,52.179737635197355,131.4217819496892,143.01215913275476,8896993.19670623,4254565.489243561
Ammerswil,4191,https://osm.org/relation/1684254,0.25584369380999716,74.0354987227387,78.20052079625205,74.64087962823662,3186607.6735521057,827386.7901007433
Le Noirmont,6754,https://osm.org/relation/1685608,0.08086789799052493,76.63199204699876,455.0592609895486,104.90782146585411,20388274.020328093,4764333.494549955
