Name,Country,OSM Relation,BFS Number,Bezirksnummer,Kantonsnummer,IoU,Area Diff [%],Hausdorff Distance [m],Symmetric Diff [%],Area swisstopo [m²],Area OSM [m²]
Treytorrens (Payerne),CH,1685167,5828,2222,22,0.9993321338655723,0.035750399926288944,3.214,0.06679698092277987,3073698.9655139744,3072600.105841273
Chavannes-des-Bois,CH,1684890,5708,2228,22,0.9992245463780269,0.04174953219721441,3.741,0.07759163396713449,2124289.277579928,2125176.158415833
Horn,CH,1684531,4421,2011,20,0.9999891593527938,4.941887895972934e-05,0.016,0.0010840708643185494,1754364.9954455413,1754365.862433055
Arni (BE),CH,1682366,602,246,2,0.9999949449068967,1.7141641941266038e-05,0.015,0.0005055105447440534,10429492.617229909,10429490.829443628
Morlon,CH,1683367,2143,1003,10,0.9999939080739129,0.00011957711765572472,0.015,0.0006091948285823724,4236409.299949351,4236414.365725484
Saubraz,CH,1685147,5437,2227,22,0.9979986011420212,0.027534367623971944,3.37,0.20036794751451628,3707138.612721019,3708159.349894976
Berlingen,CH,1684503,4801,2012,20,0.998224740410376,0.08718549836830805,7.123,0.17776113348683364,3577561.257811057,3580680.372423111
Münsingen,CH,1682570,616,246,2,0.9999963328562114,8.805300309970335e-06,0.016,0.00036671503502137137,15774325.734072614,15774324.345095862
Falera,CH,1684074,3572,1850,18,0.9999974653878437,4.9697223635528905e-06,0.016,0.0002534615306605034,22361420.679639373,22361419.56833885
Marsens,CH,1683359,2140,1003,10,0.9999937042810667,4.384073343484259e-05,0.015,0.0006295737372457009,8312386.336375482,8312382.692164347
L'Isle,CH,1685009,5486,2227,22,0.9999960073381454,1.5804323214719542e-05,0.015,0.0003992670142472645,16222904.212987322,16222906.776907539
Wuppenau,CH,1684572,4791,2015,20,0.9989207984050062,0.01556513680965855,4.711,0.10798682823823044,12119144.53982462,12121030.901252404
Wynigen,CH,1682733,424,245,2,0.9999972802866611,4.1495419360205265e-06,0.016,0.000271971709456732,28320191.915642146,28320193.090800386
Fisibach,CH,1684308,4306,1911,19,0.9999941122923962,1.2566743561696218e-05,0.016,0.0005887725304268951,5769405.692854636,5769406.417881055
Tentlingen,CH,1683410,2307,1006,10,0.9985164335281584,0.016533481425179155,3.758,0.1484790507142143,3610249.0540108723,3610845.95386762
Unterengstringen,CH,1682222,249,111,1,0.9999116030639941,0.000854315595285141,0.829,0.00884004655765029,3336885.2089399262,3336856.7014091895
Wiggiswil,CH,1682722,553,246,2,0.9982227748244107,0.07082714369331108,4.869,0.17781759061677044,1441608.2568306713,1440587.2068791112
Crans-Montana,CH,6820012,6253,2311,23,0.9996428399285604,0.0064594318279190995,7.283,0.035721232717485556,59655520.011339195,59651666.60369247
Root,CH,1682912,1065,312,3,0.9988727086049768,0.03611236475682213,3.756,0.11281308068898478,9900112.997988045,9903688.162905216
Seon,CH,1684425,4209,1907,19,0.999996616414354,2.0964926773565766e-05,0.015,0.00033835917248502804,9620356.128180506,9620358.145081123
Kloten,CH,1682154,62,103,1,0.9994117938478346,0.0005236010960235531,4.056,0.058837765591682634,19173964.280319445,19173863.885232322
Lantsch/Lenz,CH,1684100,3513,1841,18,0.9991688839554936,0.0006406681709968683,3.744,0.08314589015756524,21808601.962434094,21808462.24166278
Brunegg,CH,1684282,4193,1907,19,0.9998837982239761,0.00042290123931434465,0.259,0.011620828211983899,1554223.4815695633,1554216.908739198
Sissach,CH,1683708,2861,1304,13,0.9989182456562883,0.005475827398167553,4.125,0.10823693901074978,8896993.186806625,8897480.370797161
Ammerswil,CH,1684254,4191,1907,19,0.999994123471152,1.4145105881682786e-05,0.014,0.0005876545699236139,3186607.6698899195,3186607.2191408905
