name,bfs_nummer,relation,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Adliswil,131,https://osm.org/relation/1682077,0.0,,inf,,,7766145.270086995
Rheinwald,3714,https://osm.org/relation/9173036,0.0,,inf,,,136801953.52939716
Grens,5722,https://osm.org/relation/1684998,0.0,,inf,,,2552508.7920610784
Val Terbi,6730,https://osm.org/relation/2758687,0.0,,inf,,,46680439.12517373
Windisch,4123,https://osm.org/relation/1684461,0.0,,inf,,,4905627.475799329
Pleigne,6719,https://osm.org/relation/1685621,0.0,,inf,,,17831144.4826133
Risch,1707,https://osm.org/relation/1683147,0.0,,inf,,,22963468.05955836
Zeihen,4183,https://osm.org/relation/1684470,0.0,,inf,,,6874057.06030668
Vucherens,5692,https://osm.org/relation/1685197,0.0,,inf,,,3274997.0925442344
Roche (VD),5413,https://osm.org/relation/1685121,0.0,,inf,,,6447790.932119464
Schönenwerd,2583,https://osm.org/relation/1683574,0.0,,inf,,,3713119.4534360995
Corcelles-près-Payerne,5816,https://osm.org/relation/1684921,0.0,,inf,,,12123967.702188548
Reinach (AG),4141,https://osm.org/relation/1684398,0.0,,inf,,,9472016.329530107
Missy,5821,https://osm.org/relation/1685049,0.0,,inf,,,3113894.1981914886
Düdingen,2293,https://osm.org/relation/1683310,0.0,,inf,,,30761697.229533054
Montpreveyres,5792,https://osm.org/relation/1685061,0.0,,inf,,,4122737.409414238
Schattdorf,1213,https://osm.org/relation/1683102,0.0,,inf,,,16326484.609287106
Gachnang,4571,https://osm.org/relation/1684523,0.0,,inf,,,9731196.886646936
Treytorrens (Payerne),5828,https://osm.org/relation/1685167,0.0,,inf,,,3072206.0409189593
Chavannes-des-Bois,5708,https://osm.org/relation/1684890,0.0,,inf,,,2125440.692737734
Horn,4421,https://osm.org/relation/1684531,0.0,,inf,,,1753746.2962652328
Arni (BE),602,https://osm.org/relation/1682366,0.0,,inf,,,10433929.295402018
Morlon,2143,https://osm.org/relation/1683367,0.0,,inf,,,4236463.437771821
Saubraz,5437,https://osm.org/relation/1685147,0.0,,inf,,,3708159.3498949776
Berlingen,4801,https://osm.org/relation/1684503,0.0,,inf,,,3579052.3984442446
Münsingen,616,https://osm.org/relation/1682570,0.0,,inf,,,15775375.403693395
Falera,3572,https://osm.org/relation/1684074,0.0,,inf,,,22363225.12529279
Marsens,2140,https://osm.org/relation/1683359,0.0,,inf,,,8312506.655241743
L'Isle,5486,https://osm.org/relation/1685009,0.0,,inf,,,16219667.176261479
Wuppenau,4791,https://osm.org/relation/1684572,0.0,,inf,,,12119539.893399742
Wynigen,424,https://osm.org/relation/1682733,0.0,,inf,,,28332332.507726733
Fisibach,4306,https://osm.org/relation/1684308,0.0,,inf,,,5773398.397495636
Tentlingen,2307,https://osm.org/relation/1683410,0.0,,inf,,,3611035.2086247317
Unterengstringen,249,https://osm.org/relation/1682222,0.0,,inf,,,3338062.0590953953
Wiggiswil,553,https://osm.org/relation/1682722,0.0,,inf,,,1440315.735065448
Crans-Montana,6253,https://osm.org/relation/6820012,0.0,,inf,,,59646952.131544754
Root,1065,https://osm.org/relation/1682912,0.0,,inf,,,9901456.69324477
Seon,4209,https://osm.org/relation/1684425,0.0,,inf,,,9623097.087599201
Kloten,62,https://osm.org/relation/1682154,0.0,,inf,,,19171680.662700698
Lantsch/Lenz,3513,https://osm.org/relation/1684100,0.0,,inf,,,21808620.237972364
Brunegg,4193,https://osm.org/relation/1684282,0.0,,inf,,,1556486.993433529
Sissach,2861,https://osm.org/relation/1683708,0.0,,inf,,,8897480.370797161
Ammerswil,4191,https://osm.org/relation/1684254,0.0,,inf,,,3185399.3741520825
Le Noirmont,6754,https://osm.org/relation/1685608,0.0,,inf,,,20386803.742807478
Crassier,5714,https://osm.org/relation/1684929,0.0,,inf,,,2032761.6855884255
La Baroche,6810,https://osm.org/relation/1685604,0.0,,inf,,,31065073.173560407
Meyrin,6630,https://osm.org/relation/1685516,0.0,,inf,,,9942799.062452318
Veltheim (AG),4120,https://osm.org/relation/1684450,0.0,,inf,,,5235371.454259519
Suscévaz,5930,https://osm.org/relation/1685158,0.0,,inf,,,4155487.8405692275
Endingen,4305,https://osm.org/relation/3411173,0.0,,inf,,,11922533.116803735
Morschach,1366,https://osm.org/relation/1683091,0.0,,inf,,,23510803.546179894
Gränichen,4006,https://osm.org/relation/1684319,0.0,,inf,,,17238883.756494757
Cheseaux-sur-Lausanne,5582,https://osm.org/relation/1684899,0.0,,inf,,,4588157.727468261
Mont-Tramelan,437,https://osm.org/relation/1682557,0.0,,inf,,,4307952.289056965
Buckten,2843,https://osm.org/relation/1683635,0.0,,inf,,,1998461.1851643096
